State,LGA,Name,Population,Longitude,Latitude
New South Wales,17040,Snowy Monaro,22292,148.9588738,-36.39646235
New South Wales,17080,Snowy Valleys,14955,148.2492042,-35.73377205
New South Wales,17100,Strathfield,48495,151.0764426,-33.88041304
New South Wales,17150,Sutherland,238614,151.0510157,-34.07512759
New South Wales,17200,Sydney,237278,151.2027615,-33.88944239
New South Wales,17310,Tamworth,65908,150.9070639,-30.89250423
New South Wales,17350,Temora,6023,147.4836622,-34.38792659
New South Wales,17400,Tenterfield,7081,152.0863957,-28.9438106
New South Wales,17420,The Hills,215612,150.9620396,-33.58824784
New South Wales,17550,Tweed,99793,153.356297,-28.35997061
New South Wales,17620,Upper Hunter,14408,150.7265271,-31.96924253
New South Wales,17640,Upper Lachlan,8875,149.4556751,-34.41770949
New South Wales,17650,Uralla,6096,151.312335,-30.5076629
New South Wales,17750,Wagga Wagga,68951,147.3663568,-35.19660368
New South Wales,17850,Walcha,2990,151.7845344,-31.16388934
New South Wales,17900,Walgett,5497,148.1944595,-29.81666488
New South Wales,17950,Warren,2593,147.6798502,-31.32563982
New South Wales,18020,Warrumbungle,9239,149.4053985,-31.46279395
New South Wales,18050,Waverley,72857,151.2668515,-33.89003827
New South Wales,18100,Weddin,3608,148.0112492,-33.87190036
New South Wales,18200,Wentworth,7804,142.2428975,-33.57019715
New South Wales,18250,Willoughby,79634,151.196376,-33.80108572
New South Wales,18350,Wingecarribee,53552,150.3562646,-34.47692414
New South Wales,18400,Wollondilly,59782,150.4438006,-34.10192822
New South Wales,18450,Wollongong,221894,150.8371458,-34.36883817
New South Wales,18500,Woollahra,55175,151.2573974,-33.87168279
New South Wales,18710,Yass Valley,17647,148.884994,-34.95416755
New South Wales,19399,Unincorporated NSW,984,142.2157941,-30.65452348
Victoria,20110,Alpine,13199,146.9741773,-36.85355584
Victoria,20260,Ararat,11686,142.8431973,-37.47269577
Victoria,20570,Ballarat,121050,143.7814768,-37.49284032
Victoria,20660,Banyule,131931,145.0851468,-37.73042782
Victoria,20740,Bass Coast,43557,145.5580614,-38.5072755
Victoria,20830,Baw Baw,61905,146.1315084,-37.98398605
Victoria,20910,Bayside Vic.,106118,145.0181599,-37.9418259
Victoria,21010,Benalla,14635,146.0237675,-36.58698987
Victoria,21110,Boroondara,178008,145.063095,-37.81927311
Victoria,21180,Brimbank,198152,144.8033167,-37.74753977
