State,LGA,Name,Population,Longitude,Latitude
Western Australia,56160,Murchison,105,116.2997643,-26.75183303
Western Australia,56230,Murray,20563,115.9894423,-32.62364926
Western Australia,56300,Nannup,1675,115.663907,-34.12842249
Western Australia,56370,Narembeen,848,118.6538585,-32.04710219
Western Australia,56460,Narrogin,5029,117.26226,-32.99536466
Western Australia,56580,Nedlands,25104,115.7895883,-31.97243617
Western Australia,56620,Ngaanyatjarraku,1482,126.835295,-25.09485756
Western Australia,56730,Northam,12416,116.6360066,-31.68593389
Western Australia,56790,Northampton,3382,114.6459242,-27.75306615
Western Australia,56860,Nungarin,258,118.2080985,-31.14938033
Western Australia,56930,Peppermint Grove,1782,115.7671534,-31.99931982
Western Australia,57000,Perenjori,659,116.6114266,-29.44392715
Western Australia,57080,Perth,34624,115.8465652,-31.96015785
Western Australia,57140,Pingelly,1091,117.222057,-32.51994563
Western Australia,57210,Plantagenet,5734,117.5619796,-34.59720553
Western Australia,57280,Port Hedland,17448,118.6732132,-20.92910947
Western Australia,57350,Quairading,967,117.4234502,-32.00480222
Western Australia,57420,Ravensthorpe,2280,120.1386087,-33.61618205
Western Australia,57490,Rockingham,154132,115.7890075,-32.34416914
Western Australia,57630,Sandstone,115,119.1731227,-28.33590086
Western Australia,57700,Serpentine-Jarrahdale,38631,116.0343417,-32.3442424
Western Australia,57770,Shark Bay,1164,114.5251445,-26.53670672
Western Australia,57840,South Perth,47909,115.8700255,-31.99784367
Western Australia,57910,Stirling,249872,115.8196376,-31.88567985
Western Australia,57980,Subiaco,19452,115.8187296,-31.95200953
Western Australia,58050,Swan,179207,116.0674232,-31.74126392
Western Australia,58190,Tammin,401,117.4950013,-31.60666279
Western Australia,58260,Three Springs,600,115.5773263,-29.52575392
Western Australia,58330,Toodyay,5081,116.3806653,-31.47107928
Western Australia,58400,Trayning,306,117.8068836,-31.14399827
Western Australia,58470,Upper Gascoyne,201,116.3551213,-24.72657584
Western Australia,58510,Victoria Park,42352,115.9014807,-31.97970029
Western Australia,58540,Victoria Plains,834,116.3196045,-31.0143216
Western Australia,58570,Vincent,41479,115.8525553,-31.93127701
Western Australia,58610,Wagin,1825,117.3699396,-33.27668011
Western Australia,58680,Wandering,547,116.5812657,-32.54716935
Western Australia,58760,Wanneroo,237628,115.7629599,-31.61175146
Western Australia,58820,Waroona,4537,115.9201061,-32.85793894
Western Australia,58890,West Arthur,789,116.7393779,-33.45711674
Western Australia,59030,Westonia,246,118.6562573,-30.96756333
Western Australia,59100,Wickepin,710,117.6717722,-32.80695128
Western Australia,59170,Williams,1063,116.7280999,-33.07141364
Western Australia,59250,Wiluna,563,122.2450891,-25.3120145
Western Australia,59310,Wongan-Ballidu,1343,116.8426247,-30.71711733
Western Australia,59320,Woodanilling,490,117.3380729,-33.5336524
Western Australia,59330,Wyalkatchem,492,117.4352875,-31.18667559
Western Australia,59340,Wyndham-East Kimberley,8315,127.0516918,-15.55895885
Western Australia,59350,Yalgoo,353,117.0502834,-28.56515961
Western Australia,59360,Yilgarn,1212,119.3419952,-30.95733441
Western Australia,59370,York,3649,116.7354385,-31.92636627
Tasmania,60210,Break O'Day,7163,148.0498995,-41.42529505
Tasmania,60410,Brighton,20284,147.2609584,-42.7193278
Tasmania,60610,Burnie,20417,145.8061991,-41.21604475
Tasmania,60810,Central Coast Tas.,23350,146.0400287,-41.28123462
Tasmania,61010,Central Highlands Tas.,2588,146.6460634,-42.2123326
Tasmania,61210,Circular Head,8315,145.0146598,-41.07893565
Tasmania,61410,Clarence,63973,147.4341402,-42.83701346
Tasmania,61510,Derwent Valley,11436,146.4213618,-42.81295667
Tasmania,61610,Devonport,27030,146.3119047,-41.20868388
Tasmania,61810,Dorset,7013,147.7085196,-41.07210844
Tasmania,62010,Flinders Tas.,941,148.097854,-40.11935417
Tasmania,62210,George Town,7378,147.0260224,-41.10216543
Tasmania,62410,Glamorgan-Spring Bay,5283,147.9653516,-42.26916987
Tasmania,62610,Glenorchy,50743,147.2197731,-42.83932216
Tasmania,62810,Hobart,55977,147.2876133,-42.8978334
Tasmania,63010,Huon Valley,19742,146.5971598,-43.25141669
Tasmania,63210,Kentish,6859,146.1835198,-41.45395625
Tasmania,63410,King Island,1660,143.985486,-39.86380076
Tasmania,63610,Kingborough,41574,147.2623394,-43.18918532
Tasmania,63810,Latrobe Tas.,13158,146.5600268,-41.24397013
Tasmania,64010,Launceston,71616,147.3058198,-41.36062127
Tasmania,64210,Meander Valley,21579,146.4847868,-41.62664135
Tasmania,64610,Northern Midlands,14428,147.4601732,-41.84017397
Tasmania,64810,Sorell,17919,147.6961507,-42.77866697
Tasmania,65010,Southern Midlands,6973,147.4005557,-42.43454927
Tasmania,65210,Tasman,2722,147.8346572,-43.05467412
Tasmania,65410,Waratah-Wynyard,14905,145.4953862,-41.38322845
Tasmania,65610,West Coast,4339,145.6373243,-42.29817505
Tasmania,65810,West Tamar,26131,146.8644024,-41.28162857
Northern Territory,70200,Alice Springs,29693,133.8547769,-23.73505938
Northern Territory,70420,Barkly,7288,135.0847291,-19.44407459
Northern Territory,70540,Belyuen,167,130.6831892,-12.53817075
Northern Territory,70620,Central Desert,4128,132.4150167,-21.48980342
Northern Territory,70700,Coomalie,1410,131.0828628,-13.1257383
Northern Territory,71000,Darwin,86070,130.8870182,-12.39840065
Northern Territory,71150,Darwin Waterfront Precinct,309,130.8467209,-12.4692645
Northern Territory,71300,East Arnhem,10040,135.7455393,-12.93322994
Northern Territory,72200,Katherine,10857,132.1950906,-14.69015884
Northern Territory,72300,Litchfield,23940,131.1217921,-12.53743807
Northern Territory,72330,MacDonnell,6769,133.1615533,-24.63728263
Northern Territory,72800,Palmerston,41598,130.9714063,-12.49572272
Northern Territory,73600,Roper Gulf,7516,134.651192,-15.4348519
Northern Territory,74050,Tiwi Islands,2744,130.8163049,-11.55983157
Northern Territory,74550,Victoria Daly,3307,130.6586324,-16.24958442
Northern Territory,74560,Wagait,481,130.7497888,-12.44123692
Northern Territory,74660,West Arnhem,7467,133.2585221,-12.50804432
Northern Territory,74680,West Daly,3448,130.0603481,-14.22299345
Northern Territory,79399,Unincorporated NT,7837,131.1873738,-13.11285134
Australian Capital Territory,89399,Unincorporated ACT,473855,149.0025009,-35.48869681
Other Territories,99399,Unincorp. Other Territories,2504,156.731706,-33.01264018
